Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
1206 344 2.59 0 0.0 0 344
1208 344 2.59 0 0.0 0 344
1210 344 2.59 0 0.0 0 344
1212 344 2.59 0 0.0 0 344
1214 344 2.59 0 0.0 0 344
1216 344 2.59 0 0.0 0 344
1218 344 2.59 0 0.0 0 344
1220 344 2.59 0 0.0 0 344
1222 344 2.59 0 0.0 0 344
1224 344 2.59 0 0.0 0 344
1226 344 2.59 0 0.0 0 344
1228 344 2.59 0 0.0 0 344
1230 344 2.59 0 0.0 0 344
1232 344 2.59 0 0.0 0 344
1234 344 2.59 0 0.0 0 344
1236 344 2.59 0 0.0 0 344
1238 344 2.59 0 0.0 0 344
1240 344 2.59 0 0.0 0 344
1242 344 2.59 0 0.0 0 344
1244 344 2.59 0 0.0 0 344
1246 344 2.59 0 0.0 0 344
1248 344 2.59 0 0.0 0 344
1250 344 2.59 0 0.0 0 344
1252 344 2.59 0 0.0 0 344
1254 344 2.59 0 0.0 0 344
1256 344 2.59 0 0.0 0 344
1258 344 2.59 0 0.0 0 344
1260 344 2.59 0 0.0 0 344
1262 344 2.59 0 0.0 0 344
1264 344 2.59 0 0.0 0 344
1266 344 2.59 0 0.0 0 344
1268 344 2.59 0 0.0 0 344
1270 344 2.59 0 0.0 0 344
1272 344 2.59 0 0.0 0 344
1274 344 2.59 0 0.0 0 344
1276 344 2.59 0 0.0 0 344
1278 344 2.59 0 0.0 0 344
1280 344 2.59 0 0.0 0 344
1282 344 2.59 0 0.0 0 344
1284 344 2.59 0 0.0 0 344
1286 344 2.59 0 0.0 0 344
1288 343 2.58 0 0.0 1 344
1290 343 2.58 0 0.0 1 343
1292 343 2.58 0 0.0 1 343
1294 343 2.58 0 0.0 1 343
1296 343 2.58 0 0.0 1 343
1298 343 2.58 0 0.0 1 343
1300 343 2.58 0 0.0 1 343
1302 343 2.58 0 0.0 1 343
1304 343 2.58 0 0.0 1 343
1306 343 2.58 0 0.0 1 343
1308 343 2.58 0 0.0 1 343
1310 343 2.58 0 0.0 1 343
1312 343 2.58 0 0.0 1 343
1314 343 2.58 0 0.0 1 343
